vehicle_model,Back_Bumper,Bonnet,Brakelight,Front_Bumper,Front_Door,Front_Fender,Front_Windowscreen_Glass,Full_Damage,Headlight,Scratch_Dent,Side_Mirrors
Wagon R,1880,4500,1168,3072,5888,1090,3968,1000,2944,1000,1000
Eco Sport,2766,10455,4943,3461,4867,2355,4965,1000,5452,1000,7969
Tiago,2600,8960,5120,2560,23552,1664,8960,1000,7680,1000,1150
Maruti EECO,3115,4096,12377,1674,7216,1689,4496,1000,7654,1000,454
Ertiga,2816,6000,12514,1740,8690,1973,5247,1000,3328,1000,4470
Baleno,4480,4096,6400,1990,6291,1472,4480,1000,3982,1000,1120
Alto,2621,3850,6188,1802,6654,1214,4308,100,3276,1000,565
IGNIS,1980,3584,4580,1935,5090,1305,4416,1000,2873,1000,2534
Brezza,1852,7615,10283,3138,10094,2038,4265,1000,4736,1000,1949
Eon,1177,2314,3111,1076,4746,1052,2412,1000,2495,1000,1054
Tigor,3281,11468,4680,3283,5400,1567,4470,1000,3980,1000,2500



